,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,14,/VMM,DR. VANITA MANE,,,,,,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,,,,,,,
MON,,MTech-LAB-IV-213,,,SE-CSBS-B1-AOA-523,,,, ,,,,,,,,,,,,,,,,
TUE,,"MTech-OTBI(TH)
(10:00-11:30AM)
213-A",,,SE-CSBS-B3-AOA-523,,,,,,,,,,,,,,,,,,,,
WED,AOA                     SE-CSBS-B                        415,,,,"MTech-OTBI(TH)
(1:30-3:00PM)
213A",,,,,,,,,,,,,,,,,,,,
THR,,AOA                     SE-CSBS-B                        415,,,,,,,,,,,,,,,,,,,,,,,
FRI,SE-CSBS-B2-AOA-523,,,,AOA                     SE-CSBS-B                        415,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,,,,,,,
